,NAME,POPULATION,BIKE_TO_WORK_EST,BIKE_TO_WORK_MARG,WALK_TO_WORK_EST,WALK_TO_WORK_MARG,DRIVE_SOLO_TO_WORK_EST,DRIVE_SOLO_TO_WORK_MARG,CARPOOL_TO_WORK_EST,CARPOOL_TO_WORK_MARG,PUBTRANS_TO_WORK_EST,PUBTRANS_TO_WORK_MARG,state,county,county_subdivision,COUNTY_NAME,City,County,BICYCLE_BY_AUTO_COUNT,BICYCLE_DEATH_BY_AUTO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,PED_BY_AUTO_COUNT,PED_DEATH_BY_AUTO_COUNT,PED_SUSP_SERIOUS_INJ_BY_AUTO_COUNT
107,"Yampa CCD, Routt County",691,0,13,19,18,246,110,24,24,0,13,8,107,93933,Routt County,yampa,routt,0.0,0.0,0.0,0.0,0.0,0.0
108,"Center CCD, Saguache County",3127,0,13,28,39,1037,158,252,112,0,13,8,109,90551,Saguache County,center,saguache,0.0,0.0,0.0,0.0,0.0,0.0
109,"Saguache CCD, Saguache County",3106,9,15,122,63,674,140,27,19,0,13,8,109,93135,Saguache County,saguache,saguache,0.0,0.0,0.0,0.0,0.0,0.0
110,"Julesburg CCD, Sedgwick County",1968,6,8,63,32,608,107,88,36,0,13,8,115,91900,Sedgwick County,julesburg,sedgwick,0.0,0.0,0.0,0.0,0.0,0.0
111,"Breckenridge CCD, Summit County",18293,243,186,481,218,7009,794,568,297,1361,608,8,117,90380,Summit County,breckenridge,summit,1.0,1.0,0.0,0.0,0.0,0.0
112,"Silverthorne CCD, Summit County",12749,0,20,231,143,5207,695,497,307,298,220,8,117,93287,Summit County,silverthorne,summit,0.0,0.0,0.0,0.0,0.0,0.0
113,"Cripple Creek CCD, Teller County",2965,0,13,82,85,1133,255,7,7,0,13,8,119,90912,Teller County,cripple creek,teller,0.0,0.0,0.0,1.0,0.0,1.0
114,"Divide CCD, Teller County",21642,0,24,83,50,7498,514,765,240,0,24,8,119,91026,Teller County,divide,teller,0.0,0.0,0.0,0.0,0.0,0.0
115,"Akron CCD, Washington County",2753,4,6,15,15,1007,114,82,30,0,13,8,121,90057,Washington County,akron,washington,0.0,0.0,0.0,0.0,0.0,0.0
116,"Otis CCD, Washington County",1205,0,13,26,19,328,59,91,42,4,5,8,121,92774,Washington County,otis,washington,0.0,0.0,0.0,0.0,0.0,0.0
117,"Ault CCD, Weld County",8276,0,18,50,55,3034,422,426,126,2,3,8,123,90190,Weld County,ault,weld,0.0,0.0,0.0,0.0,0.0,0.0
118,"Fort Lupton CCD, Weld County",11523,0,20,271,150,4228,351,560,170,1,4,8,123,91349,Weld County,fort lupton,weld,0.0,0.0,0.0,0.0,0.0,0.0
119,"Greeley CCD, Weld County",139299,298,117,1710,321,50548,1285,7828,808,349,156,8,123,91634,Weld County,greeley,weld,13.0,2.0,11.0,3.0,0.0,3.0
120,"Grover CCD, Weld County",421,0,13,9,8,93,33,69,40,0,13,8,123,91653,Weld County,grover,weld,0.0,0.0,0.0,0.0,0.0,0.0
121,"Platteville CCD, Weld County",4681,0,13,22,26,1641,261,466,168,15,24,8,123,92926,Weld County,platteville,weld,0.0,0.0,0.0,0.0,0.0,0.0
122,"Raymer CCD, Weld County",693,0,13,6,9,258,80,38,20,0,13,8,123,93059,Weld County,raymer,weld,0.0,0.0,0.0,0.0,0.0,0.0
123,"Windsor CCD, Weld County",34197,19,17,353,196,13786,676,1454,333,0,27,8,123,93895,Weld County,windsor,weld,0.0,0.0,0.0,0.0,0.0,0.0
124,"Wray CCD, Yuma County",3767,0,13,100,54,1385,226,129,82,0,13,8,125,93914,Yuma County,wray,yuma,0.0,0.0,0.0,0.0,0.0,0.0
125,"Yuma CCD, Yuma County",5140,3,4,57,56,1881,245,369,149,0,18,8,125,93952,Yuma County,yuma,yuma,0.0,0.0,0.0,0.0,0.0,0.0
