,City,State,Country,BNA Score
1748,South Pasadena,CA,US,35
1749,South Windsor,CT,US,16
1750,Southampton,NY,US,10
1751,Southaven,MS,US,26
1752,Southfield,MI,US,24
1753,Southlake,TX,US,23
1754,Spartanburg,SC,US,15
1755,Spearfish,SD,US,40
1756,Spokane,WA,US,42
1757,Spokane Valley,WA,US,21
1758,Spring,TX,US,13
1759,Spring Hill,FL,US,8
1760,Spring House,PA,US,21
1761,Springboro,OH,US,19
1762,Springdale,AR,US,31
1763,Springfield,VA,US,29
1764,Springfield,OR,US,22
1765,Springfield,MA,US,9
1766,Springfield,MO,US,24
1767,Springfield,IL,US,7
1768,Springtown,TX,US,11
1769,St. Augustine,FL,US,7
1770,St. Charles,MO,US,23
1771,St. Charles,IL,US,13
1772,St. Cloud,MN,US,9
1773,St. George,UT,US,31
1774,St. Helena,CA,US,56
1775,St. Joseph,MO,US,24
1776,St. Louis,MO,US,36
1777,St. Louis Park,MN,US,57
1778,St. Marys,GA,US,17
1779,St. Marys,OH,US,76
1780,St. Paul,MN,US,57
1781,St. Paul,TX,US,19
1782,St. Peters,MO,US,26
1783,St. Petersburg,FL,US,9
1784,St. Simons,GA,US,39
1785,Stafford,VA,US,33
1786,Stamford,CT,US,13
1787,Stanford,CA,US,52
1788,Starkville,MS,US,28
1789,State College,PA,US,50
1790,Staten Island,NY,US,39
1791,Statesville,NC,US,10
1792,Steamboat Springs,CO,US,13
1793,Stephenville,TX,US,9
1794,Sterling,IL,US,5
1795,Sterling Heights,MI,US,22
1796,Stevens Point,WI,US,50
1797,Stillwater,OK,US,30
1798,Stillwater,MN,US,25
1799,Stirling,NJ,US,24
1800,Stockbridge,GA,US,14
1801,Stockton,CA,US,35
1802,Stone Mountain,GA,US,7
1803,Stonecrest,GA,US,22
1804,Stony Brook,NY,US,13
1805,Stow,OH,US,40
1806,Stuart,FL,US,19
1807,Sturgis,SD,US,35
1808,Stuyvesant,NY,US,13
1809,Suffield,CT,US,23
1810,Suffolk,VA,US,22
1811,Sugar Hill,GA,US,12
1812,Sugar Land,TX,US,13
1813,Summerville,SC,US,15
1814,Summit,NJ,US,21
1815,Sumter,SC,US,10
1816,Sun Lakes,AZ,US,22
1817,Sun Prairie,WI,US,60
1818,Sun Valley,NV,US,49
1819,Sunnyvale,CA,US,22
1820,Sunnyvale,TX,US,18
1821,Sunrise,FL,US,17
1822,Sunset,UT,US,32
1823,Superior,CO,US,22
1824,Suwanee,GA,US,25
1825,Syracuse,NY,US,8
1826,Tacoma,WA,US,33
1827,Tahlequah,OK,US,51
1828,Takoma Park,MD,US,12
1829,Tallahassee,FL,US,28
1830,Talty,TX,US,13
1831,Tampa,FL,US,15
1832,Taos,NM,US,9
1833,Tatamy,PA,US,16
1834,Tavares,FL,US,9
1835,Taylor,MI,US,27
1836,Temecula,CA,US,23
1837,Tempe,AZ,US,34
1838,Terre Haute,IN,US,7
1839,Terrell,TX,US,10
1840,The Bronx,NY,US,44
1841,The Colony,TX,US,20
1842,The Villages,FL,US,33
1843,The Woodlands,TX,US,39
1844,Thornton,CO,US,41
1845,Thousand Oaks,CA,US,27
1846,Tierra Amarilla,NM,US,43
1847,Tigard,OR,US,27
1848,Timnath,CO,US,17
1849,Titusville,FL,US,12
1850,Toledo,OH,US,18
1851,Tolland,CT,US,22
1852,Tomball,TX,US,18
1853,Tonawanda,NY,US,8
1854,Topeka,KS,US,6
1855,Torrance,CA,US,21
1856,Townsend,DE,US,26
1857,Towson,MD,US,19
1858,Traverse City,MI,US,64
1859,Trenton,NJ,US,36
1860,Trophy Club,TX,US,13
1861,Troy,OH,US,48
1862,Troy,MI,US,24
1863,Troy,TN,US,19
1864,Truckee,CA,US,41
1865,Trussville,AL,US,17
1866,Tucker,GA,US,8
1867,Tucson,AZ,US,38
1868,Tukwila,WA,US,20
1869,Tulsa,OK,US,25
1870,Tupelo,MS,US,29
1871,Tuscaloosa,AL,US,25
1872,Tustin,CA,US,14
1873,Twin Falls,ID,US,10
1874,Tyler,TX,US,8
1875,Tyrone,GA,US,13
1876,University Park,TX,US,6
1877,University Place,WA,US,38
1878,Upper Arlington,OH,US,26
1879,Urban Honolulu CDP,HI,US,19
1880,Urbana,IL,US,22
1881,Urbandale,IA,US,51
1882,Uvalde,TX,US,5
1883,Vacaville,CA,US,20
1884,Vail,CO,US,34
1885,Valley Springs,CA,US,18
1886,Valley Stream,NY,US,6
1887,Vancouver,WA,US,40
1888,Vandalia,OH,US,26
1889,Vega Baja,PR,US,19
1890,Venice,FL,US,15
1891,Ventura,CA,US,32
1892,Venus,TX,US,13
1893,Vernon,CT,US,19
1894,Vero Beach,FL,US,10
1895,Verona,PA,US,26
1896,Vienna,VA,US,33
1897,Villa Park,IL,US,7
1898,Vineyard,UT,US,19
1899,Virginia Beach,VA,US,22
1900,Virginia Gardens,FL,US,6
1901,Visalia,CA,US,30
1902,Waco,TX,US,12
1903,Wahiawa,HI,US,21
1904,Waipahu,HI,US,12
1905,Wakefield,MA,US,8
1906,Waldorf,MD,US,18
1907,Wall,NJ,US,13
1908,Walla Walla,WA,US,8
1909,Walled Lake,MI,US,27
1910,Walnut Creek,CA,US,37
1911,Waltham,MA,US,7
1912,Wantagh,NY,US,5
1913,Warminster,PA,US,23
1914,Warren,MI,US,31
1915,Warren,PA,US,35
1916,Warrenton,VA,US,22
1917,Warwick,RI,US,15
1918,Washington,DC,US,44
1919,Washington,IL,US,16
1920,Watauga,TX,US,7
1921,Waterbury,CT,US,12
1922,Waterloo,IA,US,31
1923,Waterloo,WI,US,42
1924,Watertown,WI,US,38
1925,Watsonville,CA,US,29
1926,Waukegan,IL,US,7
1927,Waukesha,WI,US,34
1928,Wausau,WI,US,38
1929,Wauwatosa,WI,US,41
1930,Waxahachie,TX,US,11
1931,Waxhaw,NC,US,12
1932,Wayland,MA,US,12
1933,Wayne,PA,US,43
1934,Weatherford,TX,US,10
1935,Webster,NY,US,16
1936,Weehawken,NJ,US,20
1937,Wenatchee,WA,US,40
1938,West Chester,PA,US,60
1939,West Chester,OH,US,24
1940,West Chicago,IL,US,12
1941,West Des Moines,IA,US,56
1942,West Fargo,ND,US,47
1943,West Grove,PA,US,15
1944,West Hartford,CT,US,13
1945,West Hollywood,CA,US,23
1946,West Jordan,UT,US,20
1947,West Lafayette,IN,US,47
1948,West Orange,NJ,US,22
1949,West Palm Beach,FL,US,13
1950,West Tawakoni,TX,US,21
1951,West Valley City,UT,US,19
1952,Westborough,MA,US,16
1953,Westerville,OH,US,28
1954,Westfield,IN,US,31
1955,Westfield,MA,US,15
1956,Westfield,NJ,US,40
1957,Westlake,TX,US,20
1958,Westlake Village,CA,US,24
1959,Westminster,CO,US,19
1960,Westminster,MD,US,10
1961,Westminster,CA,US,15
1962,Weston,FL,US,28
1963,Westworth Village,TX,US,7
1964,Wethersfield,CT,US,13
1965,Wheat Ridge,CO,US,13
1966,Wheaton,IL,US,11
1967,Wheeling,WV,US,17
1968,White Settlement,TX,US,6
1969,Whitewood,SD,US,52
1970,Wichita,KS,US,8
1971,Wichita Falls,TX,US,9
1972,Wildwood,NJ,US,28
1973,Wildwood,FL,US,12
1974,Williamsburg,VA,US,38
1975,Williamstown,NJ,US,16
1976,Williamsville,NY,US,10
1977,Willoughby Hills,OH,US,19
1978,Willow Park,TX,US,11
1979,Wilmer,TX,US,17
1980,Wilmington,NC,US,11
1981,Wilmington,DE,US,42
1982,Wilton,CT,US,18
1983,Winchester,VA,US,26
1984,Winder,GA,US,20
1985,Windsor,CO,US,24
1986,Winfield,IL,US,10
1987,Winston-Salem,NC,US,8
1988,Winter Garden,FL,US,15
1989,Winthrop,WA,US,22
1990,Wisconsin Dells,WI,US,41
1991,Woburn,MA,US,8
1992,Wolfe City,TX,US,19
1993,Woodbury,MN,US,47
1994,Woodinville,WA,US,17
1995,Woodland,CA,US,52
1996,Woodstock,IL,US,10
1997,Woodstock,GA,US,17
1998,Woodway,TX,US,6
1999,Wooster,OH,US,33
2000,Worcester,MA,US,7
2001,Wrightsville Beach,NC,US,26
2002,Wylie,TX,US,11
2003,Yakima,WA,US,30
2004,Yankton,SD,US,43
2005,Yorba Linda,CA,US,12
2006,York,PA,US,27
2007,Yorktown,VA,US,34
2008,Youngstown,OH,US,30
2009,Ypsilanti,MI,US,26
2010,Yuba City,CA,US,25
2011,Yuma,AZ,US,17
2012,Zeeland,MI,US,52
2013,Ho Chi Minh City,Ho Chi Minh City,VN,53
